Date,Mean temperature,Minimum temperature,Maximum temperature
2001-06-30,26.2,19.4,32.3
2001-07-01,26.8,20.5,33.0
2001-07-02,25.6,20.4,31.2
2001-07-03,25.8,19.0,31.4
2001-07-04,23.0,19.6,26.7
2001-07-05,25.4,20.9,30.3
2001-07-06,26.1,22.1,30.6
2001-07-07,22.4,18.4,26.4
2001-07-08,23.5,15.0,31.4
2001-07-09,25.0,17.6,31.7
2001-07-10,22.8,19.6,27.1
2001-07-11,24.0,18.0,29.3
2001-07-12,24.2,18.3,30.5
2001-07-13,23.7,18.0,29.6
2001-07-14,25.5,20.4,31.1
2001-07-15,23.1,19.8,28.2
2001-07-16,21.3,16.8,26.5
2001-07-17,22.0,14.9,28.3
2001-07-18,21.6,16.9,25.9
2001-07-19,22.0,16.9,27.8
2001-07-20,21.1,16.4,27.2
2001-07-21,22.8,13.7,29.6
2001-07-22,23.1,14.6,31.3
2001-07-23,24.8,17.0,32.3
2001-07-24,23.7,18.7,31.9
2001-07-25,24.7,18.0,31.3
2001-07-26,26.1,18.9,33.1
2001-07-27,26.9,20.6,33.6
2001-07-28,26.0,21.7,31.9
2001-07-29,26.3,20.5,33.8
2001-07-30,26.8,19.0,34.6
2001-07-31,28.1,22.2,34.2
2001-08-01,28.1,21.9,34.9
2001-08-02,28.5,21.9,34.9
2001-08-03,27.6,22.6,32.6
2001-08-04,24.8,20.3,31.3
2001-08-05,25.2,18.8,32.0
2001-08-06,23.3,17.6,29.4
2001-08-07,25.1,17.8,32.1
2001-08-08,24.5,21.8,28.6
2001-08-09,23.4,19.8,27.7
2001-08-10,24.6,19.1,30.9
2001-08-11,22.0,17.2,26.6
2001-08-12,21.3,15.1,27.9
2001-08-13,22.4,14.9,29.9
2001-08-14,24.4,16.6,32.3
2001-08-15,25.5,17.4,33.6
2001-08-16,26.7,19.1,34.4
2001-08-17,26.5,20.7,33.4
2001-08-18,24.9,18.9,31.8
2001-08-19,25.8,19.1,32.3
2001-08-20,24.0,18.4,30.0
2001-08-21,24.6,17.4,32.3
2001-08-22,25.1,18.3,32.3
2001-08-23,25.6,19.4,32.9
2001-08-24,26.3,19.9,33.6
2001-08-25,26.8,20.5,33.6
2001-08-26,27.0,20.2,34.5
2001-08-27,27.8,20.4,34.5
2001-08-28,28.0,19.3,35.2
2001-08-29,27.9,22.4,33.8
2001-08-30,22.0,17.5,26.9
2001-08-31,17.7,14.3,22.3
2001-09-01,15.0,13.0,18.2
2001-09-02,18.1,11.5,25.6
2001-09-03,20.2,13.0,27.1
2001-09-04,18.8,14.6,23.6
2001-09-05,20.4,12.7,26.4
2001-09-06,19.0,11.6,26.3
2001-09-07,19.0,11.2,27.6
2001-09-08,20.8,13.9,28.9
2001-09-09,21.0,17.5,25.1
2001-09-10,17.4,9.3,23.3
2001-09-11,17.1,8.0,23.6
2001-09-12,17.6,8.6,25.0
2001-09-13,17.5,11.8,22.4
2001-09-14,15.8,11.7,20.6
2001-09-15,15.5,8.8,23.6
2001-09-16,16.2,10.1,23.6
2001-09-17,14.2,8.1,22.6
2001-09-18,14.0,7.2,21.3
2001-09-19,14.2,11.2,19.4
2001-09-20,15.5,11.6,20.0
2001-09-21,16.8,10.7,22.6
2001-09-22,16.2,14.6,18.2
2001-09-23,14.6,14.0,14.9
2001-09-24,16.0,14.7,17.9
2001-09-25,16.6,13.1,20.9
2001-09-26,15.1,8.9,23.3
2001-09-27,15.6,10.6,22.1
2001-09-28,15.7,10.2,22.9
2001-09-29,14.9,10.6,18.5
2001-09-30,15.8,12.3,20.1
2001-10-01,16.8,11.0,23.4
2001-10-02,18.3,15.2,22.5
2001-10-03,19.0,14.6,24.1
2001-10-04,17.8,16.6,19.9
2001-10-05,17.9,15.9,22.0
2001-10-06,18.6,13.7,23.6
2001-10-07,18.7,17.5,20.2
2001-10-08,18.7,15.6,23.7
2001-10-09,18.5,14.2,24.8
2001-10-10,18.0,13.9,23.9
2001-10-11,17.1,11.8,24.9
2001-10-12,17.3,12.0,24.9
2001-10-13,17.0,11.9,24.9
2001-10-14,16.6,11.8,24.4
2001-10-15,15.8,11.9,22.5
2001-10-16,15.6,11.6,21.5
2001-10-17,15.1,10.8,21.7
2001-10-18,15.0,10.7,20.6
2001-10-19,16.5,13.8,19.9
2001-10-20,16.2,14.6,18.1
2001-10-21,15.9,11.8,20.9
2001-10-22,15.2,11.25,19.5
2001-10-23,14.5,10.7,18.1
2001-10-24,14.4,11.5,19.0
2001-10-25,13.8,10.5,18.3
2001-10-26,12.7,10.2,16.4
2001-10-27,12.3,9.3,16.5
2001-10-28,10.9,7.3,16.2
2001-10-29,11.6,8.9,17.0
2001-10-30,11.4,10.1,14.2
2001-10-31,13.1,11.3,16.2
2001-11-01,12.5,8.5,18.1
2001-11-02,10.7,6.2,16.3
2001-11-03,8.4,3.8,15.2
2001-11-04,8.3,3.5,15.0
2001-11-05,9.2,3.8,14.0
2001-11-06,9.6,5.7,11.9
2001-11-07,8.3,4.7,13.4
2001-11-08,8.1,7.2,8.7
2001-11-09,6.3,3.5,10.7
2001-11-10,6.6,3.8,10.1
2001-11-11,6.4,4.9,7.9
2001-11-12,8.6,6.3,10.9
2001-11-13,10.8,9.7,12.8
2001-11-14,10.0,8.5,12.9
2001-11-15,5.8,0.3,9.7
2001-11-16,4.2,-0.6,11.5
2001-11-17,4.4,0.4,10.9
2001-11-18,4.7,0.0,10.3
2001-11-19,6.7,3.1,9.2
2001-11-20,4.5,0.7,11.0
2001-11-21,4.1,2.7,7.8
2001-11-22,3.833333333333333,1.1333333333333335,8.4
2001-11-23,3.5666666666666664,-0.4333333333333331,9.0
2001-11-24,3.3,-2.0,9.6
2001-11-25,2.9,-2.3,9.8
2001-11-26,4.0,-1.0,9.9
2001-11-27,5.2,3.9,6.5
2001-11-28,5.0,2.3,7.4
2001-11-29,3.0,1.7,6.2
2001-11-30,3.3,-0.1,8.3
2001-12-01,5.5,2.8,8.9
2001-12-02,4.8,2.6,8.5
2001-12-03,4.3,1.4,8.6
2001-12-04,4.7,2.6,7.3
2001-12-05,4.2,1.3,8.3
2001-12-06,6.0,-0.1,15.0
2001-12-07,4.6,-0.5,12.1
2001-12-08,2.2,-0.5,7.5
2001-12-09,0.3,-3.1,6.0
2001-12-10,-1.0,-4.6,6.2
2001-12-11,-1.1,-5.0,5.2
2001-12-12,-1.2,-4.9,4.7
2001-12-13,-0.7,-3.6,4.5
2001-12-14,-2.5,-6.2,1.1
2001-12-15,-3.9,-8.2,3.1
2001-12-16,-2.4,-6.4,3.6
2001-12-17,-2.2,-6.5,3.3
