model,MASE-6750-scaled,CRPS-6750-scaled,Rank-6750-scaled,eval_metrics/MAE[0.5]-663-unscaled,CRPS-663-unscaled,Rank-663-unscaled
toto,0.617,0.375,2.336,0.001,0.025,7.641
moirai_1.1_base,0.710,0.428,4.253,0.000,0.003,5.659
moirai_1.1_large,0.720,0.436,4.481,0.001,0.005,6.741
moirai_1.1_small,0.729,0.442,4.820,0.000,0.006,7.008
timesfm_2_0_500m,0.725,0.447,5.155,0.014,0.091,10.081
chronos_bolt_base,0.726,0.451,5.447,0.003,0.019,8.172
chronos_bolt_small,0.733,0.455,5.792,0.003,0.022,8.437
autoarima,0.824,0.736,9.166,0.000,0.001,4.048
timer,0.796,0.639,9.370,0.001,0.005,6.744
time-moe,0.806,0.649,9.381,0.001,0.005,7.888
visionts,0.988,0.673,10.317,0.001,0.009,8.505
autoets,0.842,1.975,10.968,0.000,0.030,7.446
autotheta,1.123,1.018,11.724,0.001,0.002,7.297
seasonalnaive,1.000,1.000,11.791,0.000,0.006,9.332
