Date,^GDAXI,^SSMI
2018-01-02,12871.3896484375,
2018-01-03,12978.2099609375,9478.919921875
2018-01-04,13167.8896484375,9509.2802734375
2018-01-05,13319.6396484375,9556.98046875
2018-01-08,13367.7802734375,9541.73046875
2018-01-09,13385.58984375,9611.6103515625
2018-01-10,13281.33984375,9524.9599609375
2018-01-11,13202.900390625,9503.849609375
2018-01-12,13245.0302734375,9546.6103515625
2018-01-15,13200.509765625,9537.2802734375
2018-01-16,13246.330078125,9464.0498046875
2018-01-17,13183.9599609375,9440.009765625
2018-01-18,13281.4296875,9452.349609375
2018-01-19,13434.4501953125,9509.76953125
2018-01-22,13463.6904296875,9529.1298828125
2018-01-23,13559.599609375,9551.580078125
2018-01-24,13414.740234375,9547.5703125
2018-01-25,13298.3603515625,9482.9599609375
2018-01-26,13340.169921875,9515.5595703125
2018-01-29,13324.48046875,9457.26953125
2018-01-30,13197.7099609375,9433.33984375
2018-01-31,13189.48046875,9335.400390625
2018-02-01,13003.900390625,9290.919921875
2018-02-02,12785.16015625,9220.6904296875
2018-02-05,12687.490234375,9100.3896484375
2018-02-06,12392.66015625,8836.7099609375
2018-02-07,12590.4296875,8975.009765625
2018-02-08,12260.2900390625,8763.1103515625
2018-02-09,12107.48046875,8682.0
2018-02-12,12282.76953125,8822.1796875
2018-02-13,12196.5,8752.6396484375
2018-02-14,12339.16015625,8899.099609375
2018-02-15,12346.169921875,8917.7998046875
2018-02-16,12451.9599609375,8986.7197265625
2018-02-19,12385.599609375,8908.650390625
2018-02-20,12487.900390625,8981.3896484375
2018-02-21,12470.490234375,8988.990234375
2018-02-22,12461.91015625,8967.4296875
2018-02-23,12483.7900390625,8948.1904296875
2018-02-26,12527.0400390625,9026.1103515625
2018-02-27,12490.73046875,8992.51953125
2018-02-28,12435.849609375,8906.3798828125
2018-03-01,12190.9404296875,8792.3798828125
2018-03-02,11913.7099609375,8628.509765625
2018-03-05,12090.8701171875,8808.3798828125
2018-03-06,12113.8701171875,8765.8798828125
2018-03-07,12245.3603515625,8784.83984375
2018-03-08,12355.5703125,8896.419921875
2018-03-09,12346.6796875,8931.849609375
2018-03-12,12418.3896484375,8970.740234375
2018-03-13,12221.0302734375,8880.919921875
2018-03-14,12237.740234375,8869.330078125
2018-03-15,12345.5595703125,8878.98046875
2018-03-16,12389.580078125,8882.5302734375
2018-03-19,12217.01953125,8811.330078125
2018-03-20,12307.330078125,8847.2900390625
